Owner,Project,File Path,Is Helm Template,apiVersion,Has Behavior,MinReplicas,MaxReplicas,Metric Type,Metric Name,Target Kind,Target Value
afnanahmadtariq,last_seen,hpa.yml,False,autoscaling/v2,False,3,10,Resource,cpu,Utilization,70
kelvin-kahuho,Technical-Interview---Savannah-Informatics,hpa.yaml,False,autoscaling/v2,False,1,10,Resource,cpu,Utilization,50
newerton,codeeducation-kubernetes-hpa,hpa.yaml,False,autoscaling/v1,False,1,6,resource,cpu,Utilization,15
dev-shinde,Inksight,k8/calculator/hpa.yaml,False,autoscaling/v2,False,2,5,Resource,cpu,Utilization,70
stinoy,sample-app,hpa.yaml,False,autoscaling/v2,False,2,5,Resource,cpu,Utilization,60
Edenb27,k8s_project,yolo5.yaml,False,autoscaling/v2,False,1,5,Resource,cpu,Utilization,50
paradocx96,DeliveryGateway-API,k8s/hpa.yml,False,autoscaling/v1,False,1,3,resource,cpu,Utilization,60
vikas-gautam,HFC-ASSIGNMENT,hpa.yml,False,autoscaling/v1,False,2,4,resource,cpu,Utilization,1
Konstantin-Lanin-it,Mindbox_is_the_best_IT_company,config.yaml,False,autoscaling/v2,False,2,8,Resource,cpu,Utilization,80
JinsuYeo,hachwimu-iac-pub,hpa.yaml,False,autoscaling/v2,False,1,2,Resource,cpu,Utilization,60
JinsuYeo,hachwimu-iac-pub,hpa.yaml,False,autoscaling/v2,False,1,2,Resource,memory,Utilization,50
JinsuYeo,hachwimu-iac-pub,hpa.yaml,False,autoscaling/v2,False,5,25,Resource,cpu,Utilization,60
JinsuYeo,hachwimu-iac-pub,hpa.yaml,False,autoscaling/v2,False,5,25,Resource,memory,Utilization,50
projeli,k8s,ui-hpa.yaml,False,autoscaling/v2,False,1,5,Resource,cpu,Utilization,70
sanchitwake1996,manifest-files,hpa.yml,False,autoscaling/v2,False,1,5,Resource,cpu,Utilization,50
SilNuxx,k8s-cluster-app-demo,bundle.yaml,False,autoscaling/v2,False,1,10,Pods,http_requests,AverageValue,5000m
ioannismt,kubernetes,hpa.yaml,False,autoscaling/v2beta1,False,1,10,Resource,cpu,,
manimaul,tartan37.com,k8s.yml,False,autoscaling/v1,False,3,10,resource,cpu,Utilization,50
shahidmdghouse,CloudAssessment02,hpa.yaml,False,autoscaling/v2,False,2,10,Resource,cpu,Utilization,70
NancyR17,Testing_N,Hpa.yaml,False,autoscaling/v2,False,1,5,Resource,cpu,Utilization,80
akimabs,cobain,k8s/hpa.yml,False,autoscaling/v2,True,1,10,Resource,cpu,Utilization,80
akimabs,cobain,k8s/hpa.yml,False,autoscaling/v2,True,1,10,Resource,memory,Utilization,80
vitorpadovan,gprc-study,k8/hpa.yaml,False,autoscaling/v2,False,1,30,Resource,cpu,Utilization,50
zalehamza,k8s,hpa.yaml,True,autoscaling/v2,False,1,5,Resource,cpu,Utilization,70
RedHatTraining,CS22X-apps,resources/autoscale-pods/hpa.yaml,False,autoscaling/v2,False,1,4,Resource,memory,Utilization,2
mUsman3,kubernetes-101,hpa.yaml,False,autoscaling/v2,False,2,5,Resource,cpu,Utilization,50
yashsinghhh,WinterHack-Kestra,hpa.yaml,False,autoscaling/v2,False,1,5,Resource,cpu,Utilization,50
deepak4566,HTTPS-k8s-CloudnativePg,hpa.yaml,False,autoscaling/v2,False,1,10,Resource,cpu,Utilization,20
deepak4566,HTTPS-k8s-CloudnativePg,hpa.yaml,False,autoscaling/v2,False,1,10,Resource,memory,AverageValue,350Mi
DibyashaktiMoharana,k8sApp,hpa.yaml,False,autoscaling/v2,False,2,10,Resource,cpu,Utilization,50
LucasBello,fiap-app,hpa.yaml,False,autoscaling/v1,False,1,10,resource,cpu,Utilization,80
tanasescualexandrugabriel,Cloud-Native-Guestbook-Application-using-Kubernetes-and-IBM-Cloud,hpa.yaml,False,autoscaling/v1,False,2,10,resource,cpu,Utilization,50
Jaidip1994,kubernetes_hpa_custom_metric,hpa.yaml,False,autoscaling/v2,True,1,10,Resource,cpu,Utilization,50
Jaidip1994,kubernetes_hpa_custom_metric,hpa.yaml,False,autoscaling/v2,True,1,10,Pods,custom_metric,AverageValue,20
vk-maurya,python-api-k8s-autoscaling,hpa.yaml,False,autoscaling/v2,True,2,4,Resource,cpu,Utilization,60
AlbertoAlas03,Investigacion_aplicada_LIS_2025,hpa.yaml,False,autoscaling/v2,False,2,5,Resource,cpu,Utilization,50
jpiedramacas,kubectl-rust,hpa.yaml,False,autoscaling/v1,False,1,10,resource,cpu,Utilization,30
erdongli,toolbox,hpa.yaml,False,autoscaling/v1,False,1,3,resource,cpu,Utilization,75
singhritesh85,kubernetes-manifests,hpa.yaml,False,autoscaling/v2,False,1,3,Resource,cpu,AverageValue,1m
Josheleazar,myNX,HPA.yaml,False,autoscaling/v1,False,2,10,resource,cpu,Utilization,10
ZahinAbrar,Text-Summarization,hpa.yaml,False,autoscaling/v2,False,1,5,Resource,cpu,Utilization,50
muke2110,k8s-cluster-demo,hpa.yaml,False,autoscaling/v2,False,2,10,Resource,cpu,Utilization,50
vivekdalsaniya12,manifests,hpa.yaml,False,autoscaling/v2,False,1,10,Resource,cpu,Utilization,50
amitshishodia,my-mongo,hpa.yaml,False,autoscaling/v2,False,3,6,Resource,cpu,Utilization,50
hanamagouda9611,kubernetes-yaml-examples,hpa.yaml,False,autoscaling/v2,False,2,10,Resource,cpu,Utilization,50
hanamagouda9611,kubernetes-yaml-examples,hpa.yaml,False,autoscaling/v2,False,2,10,Resource,memory,Utilization,50
hanamagouda9611,kubernetes-yaml-examples,hpa.yaml,False,autoscaling/v2,False,2,10,Resource,cpu,Utilization,50
hanamagouda9611,kubernetes-yaml-examples,hpa.yaml,False,autoscaling/v2,False,2,10,Resource,memory,Utilization,50
hanamagouda9611,kubernetes-yaml-examples,hpa.yaml,False,autoscaling/v2,False,2,10,Resource,cpu,Utilization,50
hanamagouda9611,kubernetes-yaml-examples,hpa.yaml,False,autoscaling/v2,False,2,10,Resource,memory,Utilization,50
hanamagouda9611,kubernetes-yaml-examples,hpa.yaml,False,autoscaling/v2,False,2,10,Resource,cpu,Utilization,50
hanamagouda9611,kubernetes-yaml-examples,hpa.yaml,False,autoscaling/v2,False,2,10,Resource,memory,Utilization,50
hanamagouda9611,kubernetes-yaml-examples,hpa.yaml,False,autoscaling/v2,True,2,15,Resource,cpu,Utilization,90
hanamagouda9611,kubernetes-yaml-examples,hpa.yaml,False,autoscaling/v2,True,2,15,Resource,memory,Utilization,90
EcoTech-WCE-Hackathon,EcoTech,EcoTech-Backend/hpa.yaml,False,autoscaling/v1,False,1,5,resource,cpu,Utilization,50
oreoluwaOps,Kubernetes_deployment_with_ingress_cronjob_and_monitoring,hpa-a.yml,False,autoscaling/v1,False,1,3,resource,cpu,Utilization,50
raghudevopsb85,learn-kubernetes,22-hpa.yml,False,autoscaling/v2,False,2,10,Resource,cpu,Utilization,50
Ibrahim-krimi,K8SFormationXavki,hpa.yml,False,autoscaling/v1,False,3,10,resource,cpu,Utilization,6
mahmouuud230,K8s_Source_Code_Reference,hpa.yml,False,autoscaling/v1,False,1,10,resource,cpu,Utilization,5
Moustafa-youssef-linux,Restaurant_demo,k8s/hpa.yml,False,autoscaling/v2,False,1,12,Resource,cpu,Utilization,50
GF-Hackaton-2025,service-uploads,k8s/hpa.yml,False,autoscaling/v2,True,1,2,Resource,cpu,Utilization,10
JustZing,Helm-Argocd,hpa/hpa.yml,False,autoscaling/v2,True,1,10,Resource,cpu,Utilization,50
raghudevopsb79,learn-kubernetes,15-hpa.yaml,False,autoscaling/v2,False,1,10,Resource,cpu,Utilization,10
zadi2712,demoGH,main.yml,False,autoscaling/v1,False,2,5,resource,cpu,Utilization,5
MartinHeinz,metrics-on-kind,hpa.yaml,False,autoscaling/v1,False,1,5,resource,cpu,Utilization,75
MartinHeinz,metrics-on-kind,hpa.yaml,False,autoscaling/v2,False,1,5,Resource,cpu,Utilization,75
MartinHeinz,metrics-on-kind,hpa.yaml,False,autoscaling/v2,False,1,5,Resource,memory,AverageValue,200Mi
MartinHeinz,metrics-on-kind,hpa.yaml,False,autoscaling/v2,False,1,5,Pods,custom_metric,AverageValue,100
MartinHeinz,metrics-on-kind,hpa.yaml,False,autoscaling/v2,False,1,5,External,external_queue_messages_ready,Value,100
MartinHeinz,metrics-on-kind,hpa.yaml,False,autoscaling/v2,False,1,5,ContainerResource,cpu,Utilization,75
Rackal337,k8s,hpa.yaml,False,autoscaling/v2,False,2,5,Resource,cpu,Utilization,50
loh-sh,assignment-kubernetes,hpa.yaml,False,autoscaling/v2beta2,False,1,5,Resource,cpu,Utilization,70
SukhOberoi,hello-k8s,hpa.yaml,False,autoscaling/v2,False,2,5,Resource,cpu,Utilization,5
Panemiele,AriaPlus,keda.yaml,False,autoscaling/v2,False,1,10,Resource,cpu,Utilization,50
day112,go-zero-bookstore,apirpc.yaml,False,autoscaling/v2beta1,False,3,10,Resource,cpu,,
day112,go-zero-bookstore,apirpc.yaml,False,autoscaling/v2beta1,False,3,10,Resource,memory,,
day112,go-zero-bookstore,addrpc.yaml,False,autoscaling/v2beta1,False,3,10,Resource,cpu,,
day112,go-zero-bookstore,addrpc.yaml,False,autoscaling/v2beta1,False,3,10,Resource,memory,,
pahartrahar228,demo-deployment,hpa.yml,False,v1,False,,,,,,
Shreekar11,kubernetes-hpa,hpa.yml,False,autoscaling/v2,False,2,10,Resource,cpu,Utilization,50
hxwxdmhd,NoxGuard---NoxPanel,k8s/hpa.yaml,False,autoscaling/v2,True,3,20,Resource,cpu,Utilization,70
hxwxdmhd,NoxGuard---NoxPanel,k8s/hpa.yaml,False,autoscaling/v2,True,3,20,Resource,memory,Utilization,80
moleculerjs,docker-demo,argocd/k8s.yaml,False,autoscaling/v2beta2,False,2,5,Resource,cpu,Utilization,50
heejinis,1st-Project,yaml/sign.yaml,False,autoscaling/v1,False,3,10,resource,cpu,Utilization,50
fabriziomachado,desafio-k8s-gcp,go-hpa/hpa.yml,False,autoscaling/v1,False,1,6,resource,cpu,Utilization,15
andre-luiz1997,postech-ms-aplicacao-infra,hpa.yaml,False,autoscaling/v2,False,1,10,Resource,cpu,Utilization,30
Nency-Ravaliya,devops-secrete-map,Day10/hpa-v2.yaml,False,autoscaling/v2,False,1,10,Resource,cpu,Utilization,50
akimabs,deployment-cobain,ciam/hpa.yml,False,autoscaling/v2,True,1,10,Resource,cpu,Utilization,80
akimabs,deployment-cobain,ciam/hpa.yml,False,autoscaling/v2,True,1,10,Resource,memory,Utilization,80
sanjurajrh,rosa,hpa.yaml,False,autoscaling/v2,False,1,4,Resource,memory,Utilization,2
zalehamza,presentation,k8s/hpa.yaml,True,autoscaling/v2,False,1,5,Resource,cpu,Utilization,70
egbedi7,kubernetes-101-deployment,hpa.yaml,False,autoscaling/v2,False,2,5,Resource,cpu,Utilization,50
amitshishodia,mongo-express-api,pipelines/hpa.yaml,False,autoscaling/v2,False,3,6,Resource,cpu,Utilization,50
EcoTech-WCE-Hackathon,EcoTech-Backend,hpa.yaml,False,autoscaling/v1,False,1,5,resource,cpu,Utilization,50
surendra-dire,GitOps-Helm-Argocd,hpa/hpa.yml,False,autoscaling/v2,True,1,10,Resource,cpu,Utilization,50
hxwxdmhd,NoxPanel_Suite_WIP,k8s/hpa.yaml,False,autoscaling/v2,True,3,20,Resource,cpu,Utilization,70
hxwxdmhd,NoxPanel_Suite_WIP,k8s/hpa.yaml,False,autoscaling/v2,True,3,20,Resource,memory,Utilization,80
hxwxdmhd,noxsuite-security-platform,k8s/hpa.yaml,False,autoscaling/v2,True,3,20,Resource,cpu,Utilization,70
hxwxdmhd,noxsuite-security-platform,k8s/hpa.yaml,False,autoscaling/v2,True,3,20,Resource,memory,Utilization,80
hxwxdmhd,noxsuite-security-platform,NoxPanel_Suite_WIP/Docker & Config/k8s/hpa.yaml,False,autoscaling/v2,True,3,20,Resource,cpu,Utilization,70
hxwxdmhd,noxsuite-security-platform,NoxPanel_Suite_WIP/Docker & Config/k8s/hpa.yaml,False,autoscaling/v2,True,3,20,Resource,memory,Utilization,80
iamsamitdev,K8SBasicAfter,hpa-v2.yaml,False,autoscaling/v2,True,3,10,Resource,cpu,Utilization,10
iamsamitdev,K8SBasicAfter,hpa-v2.yaml,False,autoscaling/v2,True,3,10,Resource,memory,Utilization,20
dev9913,Proshop,k8s/frontend/frontend-hpa.yml,False,autoscaling/v2,False,1,3,Resource,cpu,Utilization,50
VGuimaraes5,fiap-restaurant-producao-ms,Cluster/kubernets/api.template.yml,False,autoscaling/v2,False,1,2,Resource,cpu,Utilization,40
thc1006,nephoran-intent-operator,deployments/multi-region/region-deployment-template.yaml,False,autoscaling/v2,True,${HPA_MIN_REPLICAS},${HPA_MAX_REPLICAS},Resource,cpu,Utilization,${HPA_CPU_TARGET}
thc1006,nephoran-intent-operator,deployments/multi-region/region-deployment-template.yaml,False,autoscaling/v2,True,${HPA_MIN_REPLICAS},${HPA_MAX_REPLICAS},Resource,memory,Utilization,${HPA_MEMORY_TARGET}
thc1006,nephoran-intent-operator,deployments/multi-region/region-deployment-template.yaml,False,autoscaling/v2,True,${HPA_MIN_REPLICAS},${HPA_MAX_REPLICAS},Pods,nephoran_regional_requests_per_second,AverageValue,${HPA_RPS_TARGET}
steblynskyi,infrastructure,environments/prod/kubernetes/services/integrations/lightspeed-public-api.yaml,False,autoscaling/v2,False,3,5,Resource,cpu,Utilization,85
steblynskyi,infrastructure,environments/prod/kubernetes/services/integrations/lightspeed-public-api.yaml,False,autoscaling/v2,False,3,5,Resource,memory,AverageValue,240Mi
itdojp,ITDO_ERP2,infra/k8s/ingress-nginx.yaml,False,autoscaling/v2,False,3,10,Resource,cpu,Utilization,75
itdojp,ITDO_ERP2,infra/k8s/ingress-nginx.yaml,False,autoscaling/v2,False,3,10,Resource,memory,Utilization,85
toolchainlabs,toolchain-oss,prod/helm/devops/toolchain-remote-exec-workers/templates/autoscaler.yaml,True,autoscaling/v2,True,2,10,Resource,cpu,Utilization,40
lofibrainwav,banana-ai-agent,k8s/distributed-processing.yml,False,autoscaling/v2,True,15,100,External,redis_queue_length,AverageValue,50
lofibrainwav,banana-ai-agent,k8s/distributed-processing.yml,False,autoscaling/v2,False,8,25,External,redis_queue_length,AverageValue,20
lofibrainwav,banana-ai-agent,k8s/distributed-processing.yml,False,autoscaling/v2,False,8,25,Resource,nvidia.com/gpu,Utilization,80
ObviousSloth,InstantaneousGram-BackEnd,MiniKube/Scallers/imageandviceoprocessing-scaler.yaml,False,autoscaling/v2,False,1,5,Resource,cpu,Utilization,50
CS3219-AY2223S1,cs3219-project-ay2223s1-g57,k8s/manifests-v2/matching-service-hpa.yaml,False,autoscaling/v2,False,1,1,,,,
kurt70,dockerk8sworkshop,exercises/k8s/Exercise_03/complete.yaml,False,autoscaling/v2,False,1,10,Resource,cpu,Utilization,50
kurt70,dockerk8sworkshop,exercises/k8s/Exercise_03/complete.yaml,False,autoscaling/v2,False,1,10,Resource,memory,Utilization,70
p-georgiadis,Azure_E-Commerce_Platform,infrastructure/k8s/base/order-service.yaml,False,autoscaling/v2,True,2,10,Resource,cpu,Utilization,70
p-georgiadis,Azure_E-Commerce_Platform,infrastructure/k8s/base/order-service.yaml,False,autoscaling/v2,True,2,10,Resource,memory,Utilization,80
d0hiru,k8s-mc-evidence,k8s/minecraft-hpa.yaml,False,autoscaling/v2,False,1,5,Resource,cpu,Utilization,50
MedinaJeser,Practica7-SA-B-202105561,kubernetes/courses.yaml,False,autoscaling/v2,False,1,2,Resource,cpu,Utilization,80
J0hn-B,eshop,services/shipping/templates/shipping-hpa.yaml,True,autoscaling/v2beta2,False,1,3,Resource,memory,AverageValue,800Mi
J0hn-B,eshop,services/shipping/templates/shipping-hpa.yaml,True,autoscaling/v2beta2,False,1,3,Resource,cpu,Utilization,85
devops-bharat05,Container-Orchestration,manifest/backend-hpa.yaml,False,autoscaling/v2,False,2,10,Resource,cpu,Utilization,50
rodaquino-OMNI,Coordenacao-Cuidado-Enterprise,k8s/base/backend/hpa.yaml,False,autoscaling/v2,True,3,20,Resource,cpu,Utilization,70
rodaquino-OMNI,Coordenacao-Cuidado-Enterprise,k8s/base/backend/hpa.yaml,False,autoscaling/v2,True,3,20,Resource,memory,Utilization,80
rodaquino-OMNI,Coordenacao-Cuidado-Enterprise,k8s/base/backend/hpa.yaml,False,autoscaling/v2,True,3,20,Pods,http_requests_per_second,AverageValue,1000
jha-smriti,merchant-pulse-mvp,k8s/base/ml-service.yaml,False,autoscaling/v2,False,1,5,Resource,cpu,Utilization,80
S1naHeidari,openfaas-benchmarks,disk/dd-docker/dd-hpa.yaml,False,autoscaling/v2,True,1,5,Resource,cpu,Utilization,80
S1naHeidari,openfaas-benchmarks,disk/dd-docker/dd-hpa.yaml,False,autoscaling/v2,True,1,5,Resource,memory,Utilization,80
fiap-urbanfood,urbanfood,k8s/app/urbanfood-hpa.yaml,False,autoscaling/v2,False,1,3,Resource,cpu,Utilization,70
EduardoSampaio,k8s-scripts,fullcycle/scripts/hpa.yaml,False,autoscaling/v2,False,1,4,Resource,cpu,Utilization,50
rodrigo-orlandini,kube-shortener,kubernetes/hpa/nats-hpa.yml,False,autoscaling/v2,True,3,8,Resource,cpu,Utilization,85
KaanOzen-mF,auto-scaling-microservice,auto-scaling-microservice-backend/product-service-hpa.yaml,False,autoscaling/v2,False,1,5,Resource,cpu,Utilization,20
Porogue,starwars-api,kubernetes starwars/hpa.yaml,False,autoscaling/v2,False,1,3,Resource,cpu,Utilization,80
Porogue,starwars-api,kubernetes starwars/hpa.yaml,False,autoscaling/v2,False,1,3,Resource,memory,Utilization,80
bcgov,psa-job-store,deployments/openshift/kustomize/base/api/nestjs/hpa.yml,False,autoscaling/v2,True,2,10,Resource,cpu,Utilization,80
masa0221,sample-webapp-php-manifests,manifests/overlays/prod/webapp/hpa.yaml,False,autoscaling/v2,False,2,10,,,,
monir07,devxhub-ecommerce,devxhub-gitops/nginx-hpa.yaml,False,autoscaling/v2,False,2,10,Resource,cpu,Utilization,50
monir07,devxhub-ecommerce,devxhub-gitops/nginx-hpa.yaml,False,autoscaling/v2,False,2,10,Resource,memory,Utilization,70
vitor-carvalho-ddt,ASA-BU,k8/deployment/deployment.yaml,False,autoscaling/v2,False,3,10,Resource,cpu,Utilization,50
gmackie,homelab,autoscaling/cluster-autoscaler.yaml,False,autoscaling/v2,True,1,3,Resource,cpu,Utilization,70
gmackie,homelab,autoscaling/cluster-autoscaler.yaml,False,autoscaling/v2,True,1,3,Resource,memory,Utilization,80
wusted,kubernetes-install,24-hpa-all-metrics/04-hello-hpa-pods.yaml,False,autoscaling/v2,False,3,10,Pods,request-per-second,AverageValue,1k
yalka2024,finnexusai,k8s/storage/backup-cronjob.yaml,False,autoscaling/v2,False,3,10,Resource,cpu,Utilization,70
yalka2024,finnexusai,k8s/storage/backup-cronjob.yaml,False,autoscaling/v2,False,3,10,Resource,memory,Utilization,80
Rgameroco,ibk-test,src/main/resources/k8s/hpa.yaml,False,autoscaling/v1,False,1,5,resource,cpu,Utilization,50
Gogidix-Technologies,gogidix-central-config,environment-config/k8s/hpa.yaml,False,autoscaling/v2,False,2,10,Resource,cpu,Utilization,70
Gogidix-Technologies,gogidix-central-config,environment-config/k8s/hpa.yaml,False,autoscaling/v2,False,2,10,Resource,memory,Utilization,80
rathihimanshu,eks2,hpadep.yaml,False,autoscaling/v2,False,5,10,Resource,cpu,Utilization,50
Shivgitcode,hpa,scaling.yml,False,autoscaling/v2,False,3,5,Resource,cpu,Utilization,50
AssasinDEAD,DistKubernates,k8s/hpa.yml,False,autoscaling/v2,False,2,10,Resource,cpu,Utilization,70
airavata-courses,PixelGram,k8s/kube.yaml,False,autoscaling/v2beta1,False,__REPLICA__,__MAX_REPLICA__,Resource,cpu,,
manoj7894,Devops-AWS-2024,Devops-Notes/Kubernetes/Deployment/autoscaling.yml,False,autoscaling/v2,False,1,10,Resource,cpu,Utilization,50
nazmang,k8s,helm-argocd/main.yaml,False,autoscaling/v2,False,1,3,Resource,cpu,Utilization,70
nazmang,k8s,helm-argocd/main.yaml,False,autoscaling/v2,False,1,3,Resource,memory,Utilization,95
Birbalsarva,k8s-kind-cluster,K8s/hpa.yaml,False,autoscaling/v2,False,1,5,Resource,cpu,Utilization,50
vinoct6,kubernetes_learning,hpa/hpa.yaml,False,autoscaling/v1,False,1,4,resource,cpu,Utilization,50
allenwuzhiwei,config-server,k8s/hpa.yaml,False,autoscaling/v1,False,1,1,resource,cpu,Utilization,50
allenwu-zhiwei,payment-service,k8s/hpa.yaml,False,autoscaling/v1,False,2,10,resource,cpu,Utilization,50
rolaecheas-git,lb-moneygram,k8s/hpa.yaml,False,autoscaling/v2,False,,,Resource,cpu,Utilization,
magicat777,ODIN,k8s/grafana-hpa.yaml,False,autoscaling/v2,True,1,3,Resource,cpu,Utilization,70
magicat777,ODIN,k8s/grafana-hpa.yaml,False,autoscaling/v2,True,1,3,Resource,memory,Utilization,80
magicat777,ODIN,k8s/grafana-hpa.yaml,False,autoscaling/v2,True,1,2,Resource,cpu,Utilization,75
magicat777,ODIN,k8s/grafana-hpa.yaml,False,autoscaling/v2,True,1,2,Resource,memory,Utilization,85
mackah666,mcp-demo-github-project,examples/sample-app/deployment.yaml,False,autoscaling/v2,True,3,10,Resource,cpu,Utilization,70
mackah666,mcp-demo-github-project,examples/sample-app/deployment.yaml,False,autoscaling/v2,True,3,10,Resource,memory,Utilization,80
fminna,LLM-Helm-Fix,templates/slickchart_template.yaml,True,autoscaling/v2,False,3,5,Resource,cpu,Utilization,50
DevSecOpsSamples,gke-network-loadbalancer,app/ingress-neg-api-template.yaml,False,autoscaling/v2beta2,False,2,10,Resource,cpu,Utilization,50
Gogidix-Technologies,gogidix-shared-infrastructure,notification-service/k8s/hpa.yaml,False,autoscaling/v2,True,3,20,Resource,cpu,Utilization,70
Gogidix-Technologies,gogidix-shared-infrastructure,notification-service/k8s/hpa.yaml,False,autoscaling/v2,True,3,20,Resource,memory,Utilization,80
TankChirag-1212,Devops_training,Day9/kubernetes/frontend-hpa.yaml,False,autoscaling/v2beta2,False,2,5,Resource,cpu,Utilization,50
BotEkrem,nodelabs-task,k8s/conversation-service-hpa.yaml,False,autoscaling/v2,True,1,10,Resource,cpu,Utilization,70
italo-costa,estudosKBNT_Kafka_Logs,kubernetes/microservices/virtual-stock-service-scalable.yaml,False,autoscaling/v2,True,2,12,Resource,cpu,Utilization,70
italo-costa,estudosKBNT_Kafka_Logs,kubernetes/microservices/virtual-stock-service-scalable.yaml,False,autoscaling/v2,True,2,12,Resource,memory,Utilization,80
italo-costa,estudosKBNT_Kafka_Logs,kubernetes/microservices/virtual-stock-service-scalable.yaml,False,autoscaling/v2,True,2,12,Pods,kafka_producer_records_per_sec,AverageValue,100
yashparmar04,EIC_Training,Day9/hpa.yaml,False,autoscaling/v2,False,1,10,Resource,cpu,Utilization,50
soonge97,1st-Project,yaml/web/web-hpa.yaml,False,autoscaling/v1,False,2,20,resource,cpu,Utilization,60
Erodotos,k8s-examples,horizontal-pod-autoscaler/manifests/hpa.yaml,False,autoscaling/v2,True,1,10,Resource,memory,Utilization,90
Erodotos,k8s-examples,horizontal-pod-autoscaler/manifests/hpa.yaml,False,autoscaling/v2,True,1,10,Resource,cpu,Utilization,50
mannazo,mannazo-deploy,was/swagger-service/swagger-service-hpa-canary.yaml,False,autoscaling/v2,False,1,2,Resource,cpu,Utilization,70
tuda-suda,sausage-store-infrastructure,kubernetes/backend-report/hpa.yaml,False,autoscaling/v2beta2,False,1,5,Resource,cpu,Utilization,75
kalidindi-naveen,40daysofkubernetes,yamls/hpa.yaml,False,autoscaling/v2,False,1,10,Resource,cpu,Utilization,50
kliu3816,Jellyclone,infra/hpa.yaml,False,autoscaling/v2,False,2,20,Resource,cpu,Utilization,70
kliu3816,Jellyclone,infra/hpa.yaml,False,autoscaling/v2,False,2,20,Resource,memory,Utilization,70
daophanquochoai,FoodOrderingApp_BackEnd,k8s/7.hpa.yaml,False,autoscaling/v2,True,1,3,Resource,cpu,Utilization,10
daophanquochoai,FoodOrderingApp_BackEnd,k8s/7.hpa.yaml,False,autoscaling/v2,True,1,3,Resource,cpu,Utilization,10
daophanquochoai,FoodOrderingApp_BackEnd,k8s/7.hpa.yaml,False,autoscaling/v2,True,1,3,Resource,cpu,Utilization,10
daophanquochoai,FoodOrderingApp_BackEnd,k8s/7.hpa.yaml,False,autoscaling/v2,True,1,3,Resource,cpu,Utilization,10
daophanquochoai,FoodOrderingApp_BackEnd,k8s/7.hpa.yaml,False,autoscaling/v2,True,1,3,Resource,cpu,Utilization,10
daophanquochoai,FoodOrderingApp_BackEnd,k8s/7.hpa.yaml,False,autoscaling/v2,True,1,3,Resource,cpu,Utilization,10
daophanquochoai,FoodOrderingApp_BackEnd,k8s/7.hpa.yaml,False,autoscaling/v2,True,1,3,Resource,cpu,Utilization,10
